      | ID         | Check_ID                 | Failure_Instances   | Devices_Failed | Devices_Passed  |
      | 930        | CISC-ND-000590           | 0                   | 0              | 0               |
      | 931        | CISC-ND-000620           | 0                   | 0              | 0               |
      | 932        | CISC-ND-000980           | 0                   | 0              | 0               |
      | 933        | CISC-ND-001130           | 0                   | 0              | 0               |
      | 934        | CISC-ND-001140           | 0                   | 0              | 0               |
      | 935        | CISC-ND-001150           | 0                   | 0              | 0               |
      | 936        | CISC-ND-001200           | 0                   | 0              | 0               |
      | 941        | CISC-ND-000110           | 0                   | 0              | 0               |
      | 942        | CISC-ND-000330           | 0                   | 0              | 0               |
      | 944        | CISC-RT-000560           | 4                   | 2              | 1               |
      | 945        | CISC-ND-001370           | 0                   | 0              | 0               |
      | 946        | CISC-ND-000470           | 0                   | 0              | 0               |
      | 947        | CISC-RT-000090           | 0                   | 0              | 3               |
      | 948        | CISC-ND-001030           | 0                   | 0              | 0               |
      | 950        | CISC-ND-001270           | 0                   | 0              | 0               |
      | 953        | CISC-ND-001260           | 0                   | 0              | 0               |
      | 954        | CISC-ND-001450           | 0                   | 0              | 0               |
      | 955        | CISC-ND-000720           | 0                   | 0              | 0               |
      | 956        | CISC-RT-000160           | 0                   | 0              | 3               |
      | 957        | CISC-RT-000200           | 0                   | 0              | 3               |
      | 958        | CISC-RT-000210           | 0                   | 0              | 3               |
      | 959        | CISC-RT-000240           | 3                   | 1              | 2               |
      | 960        | CISC-RT-000380           | 21                  | 3              | 0               |
      | 961        | CISC-ND-000600           | 0                   | 0              | 0               |
      | 962        | CISC-ND-000610           | 0                   | 0              | 0               |
      | 963        | CISC-RT-000180           | 0                   | 0              | 3               |
      | 964        | CISC-RT-000220           | 0                   | 0              | 3               |
      | 965        | CISC-RT-000230           | 3                   | 3              | 0               |
      | 966        | CISC-RT-000350           | 3                   | 3              | 0               |
      | 968        | CISC-RT-000550           | 4                   | 2              | 1               |
      | 969        | CISC-RT-000470           | 4                   | 2              | 1               |
      | 970        | CISC-RT-000480           | 4                   | 2              | 1               |
      | 971        | CISC-RT-000540           | 0                   | 0              | 3               |
      | 972        | CISC-RT-000620           | 3                   | 3              | 0               |
      | 973        | CISC-RT-000720           | 0                   | 0              | 3               |
      | 974        | CISC-RT-000710           | 0                   | 0              | 3               |
      | 975        | CISC-RT-000910           | 0                   | 0              | 3               |
      | 976        | CISC-RT-000640           | 0                   | 0              | 3               |
      | 977        | CISC-RT-000660           | 0                   | 0              | 3               |
      | 978        | CISC-RT-000940           | 0                   | 0              | 3               |
      | 979        | CISC-RT-000950           | 0                   | 0              | 3               |
      | 980        | CISC-L2-000140           | 0                   | 0              | 0               |
      | 981        | CISC-RT-000600           | 2                   | 2              | 1               |
      | 982        | CISC-ND-000150           | 0                   | 0              | 0               |
      | 983        | CISC-RT-000930           | 0                   | 0              | 3               |
      | 984        | CISC-RT-000270           | 0                   | 0              | 3               |
      | 986        | CISC-L2-000260           | 0                   | 0              | 0               |
      | 987        | CISC-L2-000130           | 0                   | 0              | 0               |
      | 988        | CISC-L2-000120           | 0                   | 0              | 0               |
      | 989        | CISC-L2-000090           | 0                   | 0              | 0               |
      | 990        | CISC-L2-000180           | 0                   | 0              | 0               |
      | 991        | CISC-L2-000150           | 0                   | 0              | 0               |
      | 992        | CISC-L2-000110           | 0                   | 0              | 0               |
      | 995        | CISC-L2-000200           | 0                   | 0              | 0               |
      | 996        | CISC-L2-000270           | 0                   | 0              | 0               |
      | 998        | CISC-RT-000570           | 4                   | 2              | 1               |
      | 999        | CISC-RT-000580           | 0                   | 0              | 3               |
      | 1000       | CISC-RT-000830           | 0                   | 0              | 3               |
      | 1001       | CISC-L2-000190           | 0                   | 0              | 0               |
      | 1002       | CISC-L2-000170           | 0                   | 0              | 0               |
      | 1003       | CISC-L2-000020           | 0                   | 0              | 0               |
      | 1004       | CISC-RT-000590           | 0                   | 0              | 3               |
      | 1005       | CISC-RT-000610           | 0                   | 0              | 3               |
      | 1006       | CISC-RT-000840           | 0                   | 0              | 3               |
      | 1007       | CISC-RT-000890           | 0                   | 0              | 3               |
      | 1008       | CISC-RT-000880           | 3                   | 3              | 0               |
      | 1009       | CISC-RT-000650           | 0                   | 0              | 3               |
      | 1010       | CISC-RT-000750           | 3                   | 3              | 0               |
      | 1011       | CISC-RT-000391           | 0                   | 0              | 3               |
      | 1012       | CISC-RT-000237           | 0                   | 0              | 3               |
      | 1013       | CISC-RT-000236           | 0                   | 0              | 3               |
      | 1014       | CISC-RT-000235           | 0                   | 0              | 3               |
      | 1016       | CISC-RT-000800           | 0                   | 0              | 3               |
      | 1017       | CISC-RT-000850           | 0                   | 0              | 3               |
      | 1018       | CISC-ND-000290           | 0                   | 0              | 0               |
      | 1019       | CISC-ND-000160           | 0                   | 0              | 0               |
      | 1020       | CISC-ND-000490           | 0                   | 0              | 0               |
      | 1022       | CISC-RT-000150           | 0                   | 0              | 3               |
      | 1023       | CISC-RT-000190           | 0                   | 0              | 3               |
      | 1024       | CISC-RT-000490           | 7                   | 3              | 0               |
      | 1025       | CISC-L2-000160           | 0                   | 0              | 0               |
      | 1026       | CISC-ND-001000           | 0                   | 0              | 0               |
      | 1051       | CASA-ND-000140           | 0                   | 0              | 1               |
      | 1052       | CASA-ND-000270           | 1                   | 1              | 0               |
      | 1053       | CASA-ND-000690           | 2                   | 1              | 0               |
      | 1054       | CASA-ND-000520           | 1                   | 1              | 0               |
      | 1055       | CASA-ND-000530           | 1                   | 1              | 0               |
